[09/06/20 10:35:28] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:39:23] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:41:44] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:46:11] [INFO] received Windows console close event; shutting log-core down
[09/07/20 07:55:04] [INFO] received Windows console close event; shutting log-core down
[09/07/20 07:56:31] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:03:02] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:10:42] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:14:06] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:15:38] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:26:54] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:30:36] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:34:29] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:37:05] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:41:12] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:42:00] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:48:33] [INFO] received Windows console close event; shutting log-core down
[09/07/20 08:57:37] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:28:39] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:34:45] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:37:51] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:38:28] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:42:38] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:47:22] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:49:13] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:53:27] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:55:41] [INFO] received Windows console close event; shutting log-core down
[09/07/20 09:59:41] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:00:40] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:01:50] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:07:47] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:09:17] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:10:18] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:12:18] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:14:04] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:14:09] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:15:23] [INFO] received Windows console close event; shutting log-core down
[09/07/20 10:19:14] [INFO] received Windows console close event; shutting log-core down
[09/07/20 11:13:45] [INFO] received Windows console close event; shutting log-core down
[09/07/20 11:47:27] [INFO] received Windows console close event; shutting log-core down
[09/07/20 11:51:45] [INFO] received Windows console close event; shutting log-core down
[09/07/20 12:08:01] [INFO] received Windows console close event; shutting log-core down
[09/07/20 15:14:14] [INFO] received Windows console close event; shutting log-core down
[09/07/20 15:15:13] [INFO] received Windows console close event; shutting log-core down
[09/07/20 16:52:11] [INFO] received Windows console close event; shutting log-core down
[09/07/20 16:53:59] [INFO] received Windows console close event; shutting log-core down
[09/07/20 16:54:33] [INFO] received Windows console close event; shutting log-core down
[09/07/20 16:59:07] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:18:22] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:24:36] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:27:50] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:29:40] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:29:48] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:37:55] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:45:51] [INFO] received Windows console close event; shutting log-core down
[09/07/20 17:46:57] [INFO] received Windows console close event; shutting log-core down
[09/07/20 18:01:30] [INFO] received Windows console close event; shutting log-core down
[09/07/20 18:02:45] [INFO] received Windows console close event; shutting log-core down
[09/07/20 18:05:16] [INFO] received Windows console close event; shutting log-core down
[09/07/20 18:11:21] [INFO] received Windows console close event; shutting log-core down
[09/07/20 18:36:57] [INFO] received Windows console close event; shutting log-core down
[09/07/20 19:32:34] [INFO] received Windows console close event; shutting log-core down
[09/07/20 19:33:18] [INFO] received Windows console close event; shutting log-core down
[09/07/20 19:37:59] [INFO] received Windows console close event; shutting log-core down
[09/07/20 21:51:25] [INFO] received Windows console close event; shutting log-core down
[09/07/20 21:53:29] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:05:43] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:08:43] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:13:26] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:16:58] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:55:36] [INFO] received Windows console close event; shutting log-core down
[09/07/20 22:59:24] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:02:53] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:08:00] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:10:41] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:13:57] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:16:02] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:20:52] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:25:24] [INFO] received Windows console close event; shutting log-core down
[09/07/20 23:27:25] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:03:03] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:05:28] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:13:46] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:14:51] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:21:14] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:25:54] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:35:12] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:37:28] [INFO] received Windows console close event; shutting log-core down
[09/08/20 08:49:36] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:09:59] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:23:08] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:26:13] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:31:18] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:32:23] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:35:52] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:52:52] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:58:24] [INFO] received Windows console close event; shutting log-core down
[09/08/20 10:59:52] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:03:14] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:05:12] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:09:48] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:12:06] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:21:43] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:23:03] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:31:01] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:49:23] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:56:24] [INFO] received Windows console close event; shutting log-core down
[09/08/20 11:57:26] [INFO] received Windows console close event; shutting log-core down
[09/08/20 12:01:08] [INFO] received Windows console close event; shutting log-core down
[09/08/20 12:44:51] [INFO] received Windows console close event; shutting log-core down
[09/08/20 12:51:48] [INFO] received Windows console close event; shutting log-core down
[09/08/20 13:02:45] [INFO] received Windows console close event; shutting log-core down
[09/08/20 13:12:16] [INFO] received Windows console close event; shutting log-core down
[09/08/20 13:53:35] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:02:41] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:03:01] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:05:13] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:06:12] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:06:46] [INFO] received Windows console close event; shutting log-core down
[09/08/20 14:12:38] [INFO] received Windows console close event; shutting log-core down
[09/09/20 08:20:33] [INFO] received Windows console close event; shutting log-core down
[09/09/20 08:37:43] [INFO] received Windows console close event; shutting log-core down
[09/09/20 08:40:37] [INFO] received Windows console close event; shutting log-core down
[09/09/20 08:42:01] [INFO] received Windows console close event; shutting log-core down
[09/09/20 08:50:09] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:08:28] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:12:02] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:15:51] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:19:41] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:23:31] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:24:58] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:29:10] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:38:01] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:41:21] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:43:18] [INFO] received Windows console close event; shutting log-core down
[09/09/20 09:49:58] [INFO] received Windows console close event; shutting log-core down
[09/09/20 11:20:59] [INFO] received Windows console close event; shutting log-core down
[09/09/20 11:27:45] [INFO] received Windows console close event; shutting log-core down
[09/09/20 11:32:20] [INFO] received Windows console close event; shutting log-core down
[09/09/20 11:46:25] [INFO] received Windows console close event; shutting log-core down
[09/09/20 11:52:09] [INFO] received Windows console close event; shutting log-core down
[09/09/20 12:15:46] [INFO] received Windows console close event; shutting log-core down
[09/09/20 14:22:18] [INFO] received Windows console close event; shutting log-core down
[09/09/20 14:49:32] [INFO] received Windows console close event; shutting log-core down
[09/09/20 15:21:15] [INFO] received Windows console close event; shutting log-core down
[09/09/20 15:30:32] [INFO] received Windows console close event; shutting log-core down
[09/09/20 15:38:42] [INFO] received Windows console close event; shutting log-core down
[09/09/20 15:43:43] [INFO] received Windows console close event; shutting log-core down
